subsystem,tsc,areanum,latitude,longitude,suburb_list
"2663","2",B0002,"-27.469449","153.022045","C, CITY"
"2664","3",B0003,"-27.468158","153.023704","C, CITY"
"2665","4",B0004,"-27.466849","153.025404","C, CITY"
"2666","5",B0005,"-27.46618","153.026275","C, CITY"
"2667","6",B0006,"-27.465521","153.027135","C, CITY"
"2668","7",B0007,"-27.464212","153.028794","C, CITY"
"2669","8",B0008,"-27.470198","153.022763","C, CITY"
"2670","9",B0009,"-27.468853","153.024484","C, CITY"
"2671","10",B0010,"-27.467571","153.026143","C, CITY"
"2672","11",B0011,"-27.466252","153.027823","C, CITY"
"2673","12",B0012,"-27.464961","153.029513","C, CITY"
"2674","13",B0013,"-27.471553","153.022683","C, CITY"
"2675","14",B0014,"-27.471011","153.023513","C, CITY"
"2676","16",B0016,"-27.468392","153.026862","C, CITY"
"2677","17",B0017,"-27.467029","153.028603","C, CITY"
"2678","18",B0018,"-27.465746","153.030272","C, CITY"
"2679","19",B0019,"-27.463507","153.031355","C, CITY"
"2680","21",B0021,"-27.471742","153.024292","C, CITY"
"2681","22",B0022,"-27.470433","153.025972","C, CITY"
"2682","23",B0023,"-27.469114","153.027652","C, CITY"
"2683","24",B0024,"-27.468374","153.028613","C, CITY"
"2684","25",B0025,"-27.467805","153.029342","C, CITY"
"2685","26",B0026,"-27.467742","153.029817","C, CITY"
"2686","27",B0027,"-27.464872","153.024948","C, CITY"
"2691","47",B0047,"-27.474784","153.027218","C, CITY"
"2692","48",B0048,"-27.474017","153.026499","C, CITY"
"2693","50",B0050,"-27.472509","153.025031","C, CITY"
"2694","51",B0051,"-27.47138","153.029869","C, CITY"
"2695","52",B0052,"-27.472707","153.028179","C, CITY"
"2705","62",B0062,"-27.462388","153.031152","C, CITY"
"2706","63",B0063,"-27.461837","153.031152","C, CITY"
"2707","64",B0064,"-27.461738","153.030322","C, CITY"
"2710","67",B0067,"-27.463598","153.028177","C, CITY"
"2711","68",B0068,"-27.467418","153.022945","C, CITY"
"2712","72",B0072,"-27.468691","153.021306","C, CITY"
"2713","74",B0074,"-27.466","153.024766","C, CITY"
"2724","173",B0173,"-27.470631","153.02914","C, CITY"
"2725","174",B0174,"-27.469881","153.028401","C, CITY"
"2733","207",B0207,"-27.473447","153.028918","C, CITY"
"2734","211",B0211,"-27.471191","153.026711","C, CITY"
"2741","238",B0238,"-27.462143","153.033308","C, CITY"
"2744","245",B0245,"-27.47093","153.021974","C, CITY"
"2747","270",B0270,"-27.47194","153.02745","C, CITY"
"2749","276",B0276,"-27.468554","153.030071","C, CITY"
"2750","277",B0277,"-27.470143","153.029747","C, CITY"
"2754","339",B0339,"-27.462694","153.031992","C, CITY"
"2755","340",B0340,"-27.462053","153.032478","C, CITY"
"2757","349",B0349,"-27.464897","153.031183","C, CITY"
"2759","352",B0352,"-27.473249","153.02577","C, CITY"
"2762","360",B0360,"-27.473548","153.024819","C, CITY"
"2763","365",B0365,"-27.466685","153.030111","C, CITY"
"2767","1507",M1507,"-27.470172","153.021144","A, ANN ST, NTH QUAY"
"2768","1508",M1508,"-27.472302","153.023543","C, CITY"
"2769","1509",M1509,"-27.474549","153.025781","C, CITY"
"2770","1510",M1510,"-27.475326","153.02651","C, CITY"
"2772","8037",B8037,"-27.467698","153.022328","C, CITY"
"2773","8040",B8040,"-27.469918","153.02662","C, CITY"
"2774","8045",B8045,"-27.468898","153.024484","C, CITY"
"2775","8046",B8046,"-27.467264","153.022469","C, CITY"
"2779","8111",B8111,"-27.468853","153.024484","C, CITY"
"3089","8123",B8123,"-27.472174","153.030588","C, CITY"
"0","9013",B9013,"-27.471553","153.022683","C, CITY"
"0","9060",B9060,"-27.471553","153.022683","C, CITY"
"0","9061",B9061,"-27.471553","153.022683","C, CITY"
"0","9313",B9313,"-27.471553","153.022683","C, CITY"
